ds,Job_Type,Education_Level,Job_Categories,Public_Holiday_Flag,Local_Gas_Price,Monthly_Unemployment_Rate,Hours_Worked,Platform_Count,Jobs_Completed,Job_Duration_Days,Income_Total,Expenses_Total,Target_Income_Next_Day,income_volatility_index,Month,Monthly_Income,Monthly_Expenses,Target_Income_Next_Month,income_rolling_avg_3m,expense_to_income_ratio,net_Income,savings,y
2024-01-01,Hybrid/Gig-Task,Undergraduate,Delivery,1,75.22,7.6,5.6,2,1,1,504.0,153.0,9900.0,,2024-01,12612.08,23059.15,37000.0,,0.3,350.0,-10447.070000000002,0.18973529994077729
2024-01-02,Hybrid/Gig-Task,Undergraduate,,0,75.71,7.8,0.0,0,0,0,0.0,520.1,-13800.0,356.38,2024-01,12612.08,23059.15,37000.0,,inf,-520.0,-10447.070000000002,-1.3839150223575252
2024-01-03,Hybrid/Gig-Task,Undergraduate,Event Staff,0,75.01,7.9,5.8,2,4,1,800.13,521.2,7800.0,404.54,2024-01,12612.08,23059.15,37000.0,,0.65,280.0,-10447.070000000002,1.1143485339530717
2024-01-04,Hybrid/Gig-Task,Undergraduate,Data Entry,0,75.12,8.0,5.3,2,5,1,795.2,564.32,6600.0,376.28,2024-01,12612.08,23059.15,37000.0,,0.71,230.0,-10447.070000000002,1.0989554861575745
2024-01-05,Hybrid/Gig-Task,Undergraduate,Event Staff,0,75.14,7.7,2.7,3,4,1,800.26,519.4,7800.0,348.37,2024-01,12612.08,23059.15,37000.0,,0.65,280.0,-10447.070000000002,1.1147544358219184
2024-01-06,Hybrid/Gig-Task,Undergraduate,Data Entry,0,75.18,7.6,2.4,2,5,1,360.15,572.55,-5900.0,324.26,2024-01,12612.08,23059.15,37000.0,,1.59,-210.0,-10447.070000000002,-0.25941072954852995
2024-01-07,Hybrid/Gig-Task,Undergraduate,Data Entry,0,75.05,7.8,4.4,2,4,1,660.33,580.67,2300.0,299.29,2024-01,12612.08,23059.15,37000.0,,0.88,80.0,-10447.070000000002,0.6778479088393758
2024-01-08,Hybrid/Gig-Task,Undergraduate,Delivery,0,74.9,7.8,2.4,2,5,1,216.12,5195.97,-138700.0,326.79,2024-01,12612.08,23059.15,37000.0,,24.04,-4980.0,-10447.070000000002,-0.7091187770100864
2024-01-09,Hybrid/Gig-Task,Undergraduate,,0,74.06,7.7,0.0,0,0,0,0.0,2077.18,-60400.0,326.79,2024-01,12612.08,23059.15,37000.0,,inf,-2080.0,-10447.070000000002,-1.3839150223575252
2024-01-10,Hybrid/Gig-Task,Undergraduate,,0,75.05,7.8,0.0,0,0,0,0.0,470.81,-13800.0,351.05,2024-01,12612.08,23059.15,37000.0,,inf,-470.0,-10447.070000000002,-1.3839150223575252
2024-01-11,Hybrid/Gig-Task,Undergraduate,Delivery,0,74.49,8.1,3.7,3,4,1,333.27,156.3,4700.0,305.9,2024-01,12612.08,23059.15,37000.0,,0.47,180.0,-10447.070000000002,-0.34333874673777276
2024-01-12,Hybrid/Gig-Task,Undergraduate,,0,74.57,8.0,0.0,0,0,0,0.0,1546.26,-43500.0,248.81,2024-01,12612.08,23059.15,37000.0,,inf,-1550.0,-10447.070000000002,-1.3839150223575252
2024-01-13,Hybrid/Gig-Task,Undergraduate,Delivery,0,75.21,7.7,3.5,2,3,1,315.31,133.31,5100.0,245.28,2024-01,12612.08,23059.15,37000.0,,0.42,180.0,-10447.070000000002,-0.39941565107999
2024-01-14,Hybrid/Gig-Task,Undergraduate,Event Staff,0,75.89,7.6,3.0,4,5,1,800.86,474.18,9400.0,289.33,2024-01,12612.08,23059.15,37000.0,,0.59,330.0,-10447.070000000002,1.1166278290627498
2024-01-15,Hybrid/Gig-Task,Undergraduate,Data Entry,0,75.46,8.0,3.7,4,2,1,555.64,475.27,2200.0,312.59,2024-01,12612.08,23059.15,37000.0,,0.86,80.0,-10447.070000000002,0.3509720115349922
2024-01-16,Hybrid/Gig-Task,Undergraduate,Event Staff,0,74.66,8.1,4.3,4,2,1,800.99,572.64,6600.0,335.99,2024-01,12612.08,23059.15,37000.0,,0.71,230.0,-10447.070000000002,1.1170337309315965
2024-01-17,Hybrid/Gig-Task,Undergraduate,,0,74.87,7.9,0.0,0,0,0,0.0,558.71,-15000.0,335.99,2024-01,12612.08,23059.15,37000.0,,inf,-560.0,-10447.070000000002,-1.3839150223575252
2024-01-18,Hybrid/Gig-Task,Undergraduate,,0,75.13,7.8,0.0,0,0,0,0.0,558.82,-15900.0,369.14,2024-01,12612.08,23059.15,37000.0,,inf,-560.0,-10447.070000000002,-1.3839150223575252
2024-01-19,Hybrid/Gig-Task,Undergraduate,Delivery,0,75.41,8.0,2.6,1,1,1,234.35,138.48,2700.0,341.34,2024-01,12612.08,23059.15,37000.0,,0.59,100.0,-10447.070000000002,-0.6521988457094952
2024-01-20,Hybrid/Gig-Task,Undergraduate,Delivery,0,74.13,8.1,2.3,2,3,1,207.32,919.34,-20300.0,347.49,2024-01,12612.08,23059.15,37000.0,,4.43,-710.0,-10447.070000000002,-0.7365952112089458
2024-01-21,Hybrid/Gig-Task,Undergraduate,Event Staff,0,74.17,8.0,4.8,1,2,1,801.32,530.03,7400.0,347.59,2024-01,12612.08,23059.15,37000.0,,0.66,270.0,-10447.070000000002,1.1180640972140539
2024-01-22,Hybrid/Gig-Task,Undergraduate,Event Staff,0,75.56,7.6,2.8,2,5,1,801.38,1507.06,-19000.0,380.18,2024-01,12612.08,23059.15,37000.0,,1.88,-710.0,-10447.070000000002,1.1182514365381369
2024-01-23,Hybrid/Gig-Task,Undergraduate,Event Staff,0,74.79,7.6,5.1,3,4,1,801.45,483.03,8400.0,380.26,2024-01,12612.08,23059.15,37000.0,,0.6,320.0,-10447.070000000002,1.1184699990829006
2024-01-24,Hybrid/Gig-Task,Undergraduate,Delivery,0,74.89,7.7,5.7,3,5,1,513.97,207.91,9100.0,335.69,2024-01,12612.08,23059.15,37000.0,,0.4,310.0,-10447.070000000002,0.22086485095925767
2024-01-25,Hybrid/Gig-Task,Undergraduate,Event Staff,0,75.39,8.1,2.9,2,4,1,801.58,588.7,5800.0,276.1,2024-01,12612.08,23059.15,37000.0,,0.73,210.0,-10447.070000000002,1.1188759009517475
2024-01-26,Hybrid/Gig-Task,Undergraduate,,1,75.7,7.7,0.0,0,0,0,0.0,503.41,-14100.0,334.98,2024-01,12612.08,23059.15,37000.0,,inf,-500.0,-10447.070000000002,-1.3839150223575252
2024-01-27,Hybrid/Gig-Task,Undergraduate,Event Staff,0,74.9,7.5,5.8,3,5,1,801.71,565.81,6800.0,304.31,2024-01,12612.08,23059.15,37000.0,,0.71,240.0,-10447.070000000002,1.1192818028205942
2024-01-28,Hybrid/Gig-Task,Undergraduate,,0,74.6,8.0,0.0,0,0,0,0.0,515.66,-14900.0,377.92,2024-01,12612.08,23059.15,37000.0,,inf,-520.0,-10447.070000000002,-1.3839150223575252
2024-01-29,Hybrid/Gig-Task,Undergraduate,,0,75.81,7.6,0.0,0,0,0,0.0,538.89,-15800.0,403.07,2024-01,12612.08,23059.15,37000.0,,inf,-540.0,-10447.070000000002,-1.3839150223575252
2024-01-30,Hybrid/Gig-Task,Undergraduate,,0,74.7,7.8,0.0,0,0,0,0.0,425.36,-12100.0,389.24,2024-01,12612.08,23059.15,37000.0,,inf,-430.0,-10447.070000000002,-1.3839150223575252
2024-01-31,Hybrid/Gig-Task,Undergraduate,Data Entry,0,75.14,7.6,4.7,2,3,1,706.74,484.78,6300.0,412.8,2024-01,12612.08,23059.15,37000.0,,0.69,220.0,-10447.070000000002,0.8227548760176778
2024-02-01,Hybrid/Gig-Task,Undergraduate,Event Staff,0,75.78,7.7,3.0,1,4,1,802.04,538.19,7000.0,412.89,2024-02,13893.18,16894.829999999998,22400.0,,0.67,260.0,-3001.649999999998,1.120312169103051
2024-02-02,Hybrid/Gig-Task,Undergraduate,Data Entry,0,75.58,7.9,3.9,3,2,1,586.54,582.56,100.0,393.82,2024-02,13893.18,16894.829999999998,22400.0,,0.99,0.0,-3001.649999999998,0.44745176343780474
2024-02-03,Hybrid/Gig-Task,Undergraduate,Data Entry,0,75.61,7.7,4.0,2,2,1,601.63,550.47,1400.0,367.35,2024-02,13893.18,16894.829999999998,22400.0,,0.91,50.0,-3001.649999999998,0.49456760344471234
2024-02-04,Hybrid/Gig-Task,Undergraduate,Data Entry,0,75.57,7.8,5.3,3,2,1,797.22,559.64,6300.0,351.22,2024-02,13893.18,16894.829999999998,22400.0,,0.7,240.0,-3001.649999999998,1.10526257673504
2024-02-05,Hybrid/Gig-Task,Undergraduate,,0,75.46,7.7,0.0,0,0,0,0.0,526.52,-14900.0,351.22,2024-02,13893.18,16894.829999999998,22400.0,,inf,-530.0,-3001.649999999998,-1.3839150223575252
2024-02-06,Hybrid/Gig-Task,Undergraduate,Delivery,0,76.47,7.9,5.4,3,5,1,487.44,162.12,9500.0,276.03,2024-02,13893.18,16894.829999999998,22400.0,,0.33,330.0,-3001.649999999998,0.13802964649383306
2024-02-07,Hybrid/Gig-Task,Undergraduate,Event Staff,0,75.54,7.9,4.0,3,4,1,802.44,447.16,9500.0,286.18,2024-02,13893.18,16894.829999999998,22400.0,,0.56,360.0,-3001.649999999998,1.1215610979302724
2024-02-08,Hybrid/Gig-Task,Undergraduate,,0,75.54,8.0,0.0,0,0,0,0.0,499.63,-14000.0,339.26,2024-02,13893.18,16894.829999999998,22400.0,,inf,-500.0,-3001.649999999998,-1.3839150223575252
2024-02-09,Hybrid/Gig-Task,Undergraduate,,0,75.91,7.8,0.0,0,0,0,0.0,576.29,-16100.0,375.56,2024-02,13893.18,16894.829999999998,22400.0,,inf,-580.0,-3001.649999999998,-1.3839150223575252
2024-02-10,Hybrid/Gig-Task,Undergraduate,Delivery,0,75.97,7.5,4.8,4,3,1,433.42,967.39,-14700.0,364.54,2024-02,13893.18,16894.829999999998,22400.0,,2.23,-530.0,-3001.649999999998,-0.030638191622346062
2024-02-11,Hybrid/Gig-Task,Undergraduate,Event Staff,0,75.2,7.6,2.7,3,2,1,802.7,457.58,9500.0,365.64,2024-02,13893.18,16894.829999999998,22400.0,,0.57,350.0,-3001.649999999998,1.1223729016679658
2024-02-12,Hybrid/Gig-Task,Undergraduate,Data Entry,0,75.86,8.1,4.0,2,4,1,602.07,544.37,1700.0,336.24,2024-02,13893.18,16894.829999999998,22400.0,,0.9,60.0,-3001.649999999998,0.49594142515465545
2024-02-13,Hybrid/Gig-Task,Undergraduate,Event Staff,0,76.92,7.9,3.8,2,5,1,802.83,541.45,7500.0,362.67,2024-02,13893.18,16894.829999999998,22400.0,,0.67,260.0,-3001.649999999998,1.1227788035368127
2024-02-14,Hybrid/Gig-Task,Undergraduate,Data Entry,0,76.08,7.4,4.2,4,2,1,632.28,432.64,5400.0,343.59,2024-02,13893.18,16894.829999999998,22400.0,,0.68,200.0,-3001.649999999998,0.5902667748305118
2024-02-15,Hybrid/Gig-Task,Undergraduate,Delivery,0,75.57,7.6,2.7,4,2,1,243.9,150.29,2600.0,297.55,2024-02,13893.18,16894.829999999998,22400.0,,0.62,90.0,-3001.649999999998,-0.6223806699595967
2024-02-16,Hybrid/Gig-Task,Undergraduate,Event Staff,0,75.55,7.8,5.1,3,3,1,803.03,516.54,8000.0,214.86,2024-02,13893.18,16894.829999999998,22400.0,,0.64,290.0,-3001.649999999998,1.123403267950423
2024-02-17,Hybrid/Gig-Task,Undergraduate,Data Entry,0,75.65,7.4,2.2,3,4,1,331.28,573.14,-7000.0,232.19,2024-02,13893.18,16894.829999999998,22400.0,,1.73,-240.0,-3001.649999999998,-0.34955216765319663
2024-02-18,Hybrid/Gig-Task,Undergraduate,Event Staff,0,76.28,7.6,3.4,3,3,1,803.16,407.74,11600.0,232.25,2024-02,13893.18,16894.829999999998,22400.0,,0.51,400.0,-3001.649999999998,1.1238091698192696
2024-02-19,Hybrid/Gig-Task,Undergraduate,Data Entry,0,76.04,8.2,4.3,2,3,1,647.6,475.45,4800.0,232.87,2024-02,13893.18,16894.829999999998,22400.0,,0.73,170.0,-3001.649999999998,0.6381007489130714
2024-02-20,Hybrid/Gig-Task,Undergraduate,,0,75.48,7.3,0.0,0,0,0,0.0,583.57,-16000.0,307.37,2024-02,13893.18,16894.829999999998,22400.0,,inf,-580.0,-3001.649999999998,-1.3839150223575252
2024-02-21,Hybrid/Gig-Task,Undergraduate,Data Entry,0,75.82,8.0,5.5,3,4,1,828.47,531.17,8700.0,330.13,2024-02,13893.18,16894.829999999998,22400.0,,0.64,300.0,-3001.649999999998,1.2028351413616707
2024-02-22,Hybrid/Gig-Task,Undergraduate,Delivery,0,76.96,7.6,2.3,3,2,1,207.89,111.1,2800.0,335.43,2024-02,13893.18,16894.829999999998,22400.0,,0.53,100.0,-3001.649999999998,-0.734815487630156
2024-02-23,Hybrid/Gig-Task,Undergraduate,,0,76.25,7.7,0.0,0,0,0,0.0,458.64,-13400.0,358.01,2024-02,13893.18,16894.829999999998,22400.0,,inf,-460.0,-3001.649999999998,-1.3839150223575252
2024-02-24,Hybrid/Gig-Task,Undergraduate,Event Staff,0,75.97,8.3,5.0,4,4,1,803.56,437.51,9800.0,385.75,2024-02,13893.18,16894.829999999998,22400.0,,0.54,370.0,-3001.649999999998,1.1250580986464904
2024-02-25,Hybrid/Gig-Task,Undergraduate,Data Entry,0,75.29,7.9,4.6,1,2,1,693.13,437.59,6800.0,371.91,2024-02,13893.18,16894.829999999998,22400.0,,0.63,260.0,-3001.649999999998,0.7802600726714874
2024-02-26,Hybrid/Gig-Task,Undergraduate,,0,76.29,8.0,0.0,0,0,0,0.0,3448.84,-92200.0,395.62,2024-02,13893.18,16894.829999999998,22400.0,,inf,-3450.0,-3001.649999999998,-1.3839150223575252
2024-02-27,Hybrid/Gig-Task,Undergraduate,Event Staff,0,76.13,7.9,4.5,1,4,1,803.76,467.08,9200.0,389.69,2024-02,13893.18,16894.829999999998,22400.0,,0.58,340.0,-3001.649999999998,1.125682563060101
2024-02-28,Hybrid/Gig-Task,Undergraduate,Data Entry,0,75.9,7.9,2.5,2,1,1,376.79,411.55,-1000.0,357.82,2024-02,13893.18,16894.829999999998,22400.0,,1.09,-30.0,-3001.649999999998,-0.20745529033614143
2024-02-29,Hybrid/Gig-Task,Undergraduate,,0,75.95,7.9,0.0,0,0,0,0.0,498.61,-14700.0,385.18,2024-02,13893.18,16894.829999999998,22400.0,,inf,-500.0,-3001.649999999998,-1.3839150223575252
2024-03-01,Hybrid/Gig-Task,Undergraduate,,0,75.83,7.9,0.0,0,0,0,0.0,431.94,-12200.0,385.18,2024-03,12423.73,19065.8,28600.0,,inf,-430.0,-6642.07,-1.3839150223575252
2024-03-02,Hybrid/Gig-Task,Undergraduate,,0,75.92,8.0,0.0,0,0,0,0.0,532.19,-15100.0,357.52,2024-03,12423.73,19065.8,28600.0,,inf,-530.0,-6642.07,-1.3839150223575252
2024-03-03,Hybrid/Gig-Task,Undergraduate,Event Staff,0,75.82,7.4,5.6,4,5,1,804.09,450.32,9700.0,381.2,2024-03,12423.73,19065.8,28600.0,,0.56,350.0,-6642.07,1.1267129293425584
2024-03-04,Hybrid/Gig-Task,Undergraduate,,0,76.4,7.6,0.0,0,0,0,0.0,457.49,-12100.0,381.2,2024-03,12423.73,19065.8,28600.0,,inf,-460.0,-6642.07,-1.3839150223575252
